comm,min_name,op_id,op_name,source,state,status,type
"Crushed, Broken Stone NEC",Newberg Rock & Dirt,3503598,OR,M,Newberg Rock & Dirt,Active,Surface
Construction Sand and Gravel,Allied Dirt Moving Company,0502030,CO,M,Allied Dirt Moving Co Pit & Plant,Abandoned,Surface
Construction Sand and Gravel,AM Dirtworks & Aggregate Sales,4801789,ND,M,AM Dirtworks & Aggregate Sales,Intermittent,Surface
Coal (Bituminous),Atlas-Dirty Devil Mining,4201449,UT,C,Unit Train Loading Facility,Abandoned,Facility
Coal (Bituminous),Atlas-Dirty Devil Mining,4201450,UT,C,Blackie Surface Mine & Prep Plant,Abandoned,Surface
Construction Sand and Gravel,Babe's Dirt Work,1002257,ID,M,"Hitt Pit, Inc.",Abandoned,Surface
Construction Sand and Gravel,Bar-Lin Dirt Company,1601167,LA,M,Bar-Lin Dirt Pit,Abandoned,Surface
Construction Sand and Gravel,Barber'S Dirt Pit,4103265,TX,M,Barber'S Dirt Pit,Abandoned,Surface
Construction Sand and Gravel,Bender Sand & Dirt,1401575,KS,M,BENDER SAND & DIRT,Abandoned,Surface
Construction Sand and Gravel,BERT'S DIRT,1700776,ME,M,BERT'S DIRT,Abandoned,Surface
Construction Sand and Gravel,Big D Dirt Service Inc,1601251,LA,M,Dorothy V Pit,Abandoned,Surface
Construction Sand and Gravel,Big Red Dirt Farm LLC,0301963,AR,M,Big Red Dirt Farm,Abandoned,Surface
Construction Sand and Gravel,Big River Dirt Pit,1601082,LA,M,Big River Dirt Pit,Abandoned,Surface
Construction Sand and Gravel,Bob Harris Dirt Contracting,3401751,OK,M,Harris Pit,Abandoned,Surface
Construction Sand and Gravel,Bohannon Sand & Dirt,1600916,LA,M,BOHANNON SAND & DIRT,Abandoned,Surface
Construction Sand and Gravel,Bratcher'S Sand & Dirt,3401211,OK,M,Eubanks Pit,Abandoned,Surface
Construction Sand and Gravel,Brewer Dirt Works,0301267,AR,M,Brewer Pit,Abandoned,Surface
Construction Sand and Gravel,Buck'S Dirt Pit,1600956,LA,M,Buck'S Dirt Pit,Abandoned,Surface
Common Clays NEC,C & G Dirt Hauling,2200033,MS,M,Laurel Brick & Tile,Abandoned,Surface
Construction Sand and Gravel,"C N C Dirt Movers, Inc.",0504953,NM,M,Foster Canyon,Abandoned,Surface
"Sand, Industrial NEC",Cambridge Dirt Sand and Gravel LLC,3401929,OK,M,Cambridge #1,Abandoned,Surface
Construction Sand and Gravel,Central Iowa Dirt & Demo LLC,1302445,IA,M,Woolstock,Abandoned,Surface
Construction Sand and Gravel,Crowes Trucking & Dirt Pit Services,1601106,LA,M,Crowes Dirt Pit,Abandoned,Surface
Construction Sand and Gravel,D & H Dirt,3400915,OK,M,D & H Dirt,Abandoned,Surface
Construction Sand and Gravel,Diez Dirt & Sand Hauling Inc,1600983,LA,M,Amite Acres Dredge,Abandoned,Surface
Common Clays NEC,Dirt Cheap,4503200,WA,M,Dirt Cheap,Abandoned,Surface
Construction Sand and Gravel,Dirt Company,3401266,OK,M,Pit #1,Abandoned,Surface
Construction Sand and Gravel,Dirt Company,3401468,OK,M,Hicks Pit,Abandoned,Surface
Construction Sand and Gravel,Dirt Company,5001797,AK,M,Bush Pilot,Intermittent,Surface
"Crushed, Broken Limestone NEC",Dirt Con,4608254,WV,M,Hog Lick Quarry,Temporarily Idled,Surface
Coal (Bituminous),Dirt Diggers Inc,1510279,KY,C,Debco Mine,Abandoned,Surface
Construction Sand and Gravel,Dirt Doctor Inc,2103723,MN,M,Rock Lake Plant,Intermittent,Surface
Common Clays NEC,Dirt Inc,0100776,AL,M,Harrison Pit,Abandoned,Surface
Construction Sand and Gravel,Dirt Pit,4104016,TX,M,THE DIRT PIT,Abandoned,Surface
Construction Sand and Gravel,Dirt Works,4104757,TX,M,Portable #1,Intermittent,Surface
Construction Sand and Gravel,Dirtco Inc,0301729,AR,M,DIRTCO INC,Abandoned,Surface
Construction Sand and Gravel,Dirtman Trucking,0404851,CA,M,Dirtman Sand & Gravel #2,Abandoned,Surface
Construction Sand and Gravel,"DIRTWORKS, INC.",2200734,MS,M,"DIRTWORKS, INC.",Abandoned,Surface
Construction Sand and Gravel,"Dirtworks, Inc.",5002028,AK,M,"Dirtworks, Inc.",Abandoned,Surface
Coal (Bituminous),Dirty Coal,1513393,KY,C,No 1 Surface,Abandoned,Surface
Construction Sand and Gravel,Dorchester Dirt Company Inc,3800602,SC,M,DIAMOND MINE #3,Abandoned,Surface
