BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201701,5,930,201701,5,930,112800,673959,CALIFORNIA,6,2017,January,Flood,C,29,KERN,HNX,05-JAN-17 09:30:00,PST-8,05-JAN-17 09:30:00,0,0,0,0,0.00K,0.00K,Department of Highways,,,Heavy Rain,,,,,,,,,4.0,NE,EDISON,5.0,NE,EDISON,35.3982,-118.818,35.4012,-118.806,Low pressure moving southeastward into central CA from the Pacific Northwest allowed subtropical moisture stream to be pumped into the region bringing heavy rainfall to the San Joaquin Valley and foothill areas. Orographic lifting caused intensification of rains at times. Heavy mountain snows also occurred. Low clouds and fog from the orographic lifting also created dangerous driving conditions for the Kern County mountain passes.,Kern County Department of Highways reported flooding east of Bakersfield on Breckenridge Road about 3 miles from Commanche Drive.,CSV
201701,5,930,201701,5,930,112800,673960,CALIFORNIA,6,2017,January,Flood,C,29,KERN,HNX,05-JAN-17 09:30:00,PST-8,05-JAN-17 09:30:00,0,0,0,0,0.00K,0.00K,Department of Highways,,,Heavy Rain,,,,,,,,,1.0,S,BODFISH,1.0,S,BODFISH,35.5857,-118.5026,35.5893,-118.501,Low pressure moving southeastward into central CA from the Pacific Northwest allowed subtropical moisture stream to be pumped into the region bringing heavy rainfall to the San Joaquin Valley and foothill areas. Orographic lifting caused intensification of rains at times. Heavy mountain snows also occurred. Low clouds and fog from the orographic lifting also created dangerous driving conditions for the Kern County mountain passes.,Kern County Department of Highways reported flooding in Bodfish on Caliente Bodfish Road at Rim Road for southbound traffic.,CSV
201701,12,1504,201701,12,1504,113000,675369,CALIFORNIA,6,2017,January,Flood,C,19,FRESNO,HNX,12-JAN-17 15:04:00,PST-8,12-JAN-17 15:04:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1.0,E,MINKLER,1.0,ENE,MINKLER,36.72,-119.46,36.7255,-119.4578,A series of systems fed by a continued influx of very moist air was pushed into the central California interior through an atmospheric river set-up for several days prior and a colder low pressure system moved into central California. This created thunderstorms that produced heavy rainfall for parts of the San Joaquin Valley. Reports of road ponding/flooding was reported along with a few reports of funnel clouds.,California Highway Patrol reported about a foot of water across all lanes on Highway 180 near Reed Avenue near Minkler.,CSV
201701,20,1518,201701,20,1518,113002,675410,CALIFORNIA,6,2017,January,Flood,C,19,FRESNO,HNX,20-JAN-17 15:18:00,PST-8,20-JAN-17 15:18:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,6.0,SE,CANTUA CREEK,6.0,SE,CANTUA CREEK,36.43,-120.25,36.4309,-120.245,"A nearly stationary cold low pressure system from the Pacific Northwest moved into central California and tropical moisture being fed from the Pacific with a continued  atmospheric river set-up, brought thunderstorms and heavy rainfall to the Sierra Nevada Mountains and Foothills and parts of the San Joaquin Valley over several days. Small pea-sized hail was also reported with some of the thunderstorms.",California Highway Patrol reported Mt Whitney Avenue closed near Sonoma Avenue due to flooding west of Five Points.,CSV
201701,20,1519,201701,20,1519,113002,675411,CALIFORNIA,6,2017,January,Flood,C,47,MERCED,HNX,20-JAN-17 15:19:00,PST-8,20-JAN-17 15:19:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,2.0,NNE,LOS BANOS,2.0,NNE,LOS BANOS,37.1,-120.83,37.0998,-120.8273,"A nearly stationary cold low pressure system from the Pacific Northwest moved into central California and tropical moisture being fed from the Pacific with a continued  atmospheric river set-up, brought thunderstorms and heavy rainfall to the Sierra Nevada Mountains and Foothills and parts of the San Joaquin Valley over several days. Small pea-sized hail was also reported with some of the thunderstorms.",California Highway Patrol reported half of Henry Miller Avenue was flooded west of State Route 165 north of Los Banos.,CSV
201701,20,1645,201701,20,1645,113002,675412,CALIFORNIA,6,2017,January,Flood,C,29,KERN,HNX,20-JAN-17 16:45:00,PST-8,20-JAN-17 16:45:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,4.0,W,BUTTONWILLOW,4.0,W,BUTTONWILLOW,35.4,-119.54,35.4027,-119.538,"A nearly stationary cold low pressure system from the Pacific Northwest moved into central California and tropical moisture being fed from the Pacific with a continued  atmospheric river set-up, brought thunderstorms and heavy rainfall to the Sierra Nevada Mountains and Foothills and parts of the San Joaquin Valley over several days. Small pea-sized hail was also reported with some of the thunderstorms.",California Highway Patrol reported roadway flooding on Lokern Road near Highway 58 west of Buttonwillow.,CSV
201701,10,1431,201701,10,1631,112992,675254,CALIFORNIA,6,2017,January,Flood,C,81,SAN MATEO,MTR,10-JAN-17 14:31:00,PST-8,10-JAN-17 16:31:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,16.0,N,STERLING PARK,16.0,N,STERLING PARK,37.9279,-122.5157,37.9278,-122.5156,The third and final system in a string of Atmospheric River events between January 2 to 11. This system resulted in widespread roadway flooding and debris flows across the CWA.,North bound Highway 101 on Paradise off ramp closed due to flooding.,CSV
201701,20,547,201701,20,747,113024,675566,CALIFORNIA,6,2017,January,Flood,C,87,SANTA CRUZ,MTR,20-JAN-17 05:47:00,PST-8,20-JAN-17 07:47:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1.0,N,SANTA CRUZ,1.0,N,SANTA CRUZ,36.9921,-122.021,36.9919,-122.0213,"The second in a series of three storms between January 18-23. Storm two occurred January 19-20. Heavy rain, strong winds, and small hail were observed with this frontal system as well as lightning strikes in San Francisco.",Flooding along SR hwy 17 8 to 10 inches on the road.,CSV
201701,20,603,201701,20,803,113024,675567,CALIFORNIA,6,2017,January,Flood,C,85,SANTA CLARA,MTR,20-JAN-17 06:03:00,PST-8,20-JAN-17 08:03:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,0.0,SE,SAN JOSE,0.0,SE,SAN JOSE,37.3273,-121.8775,37.3275,-121.8772,"The second in a series of three storms between January 18-23. Storm two occurred January 19-20. Heavy rain, strong winds, and small hail were observed with this frontal system as well as lightning strikes in San Francisco.",Roadway flooding along hwy 280.,CSV
201701,20,1738,201701,20,1738,113002,675413,CALIFORNIA,6,2017,January,Flood,C,47,MERCED,HNX,20-JAN-17 17:38:00,PST-8,20-JAN-17 17:38:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,2.0,SW,LIVINGSTON,2.0,SW,LIVINGSTON,37.36,-120.74,37.3619,-120.74,"A nearly stationary cold low pressure system from the Pacific Northwest moved into central California and tropical moisture being fed from the Pacific with a continued  atmospheric river set-up, brought thunderstorms and heavy rainfall to the Sierra Nevada Mountains and Foothills and parts of the San Joaquin Valley over several days. Small pea-sized hail was also reported with some of the thunderstorms.",California Highway Patrol reported 6 to 8 inches of water on Westside Boulevard near Robin Avenue southwest of Livingston.,CSV
