FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201702,8,0,32955,665863,"D","02/08/2017 00:00:00",69,"F","Permanent Home",201611
201701,2,0,33036,675835,"D","01/02/2017 00:00:00",23,"F","Outside/Open Areas",201701
201701,2,0,33037,675835,"D","01/02/2017 00:00:00",29,"M","Outside/Open Areas",201701
201701,9,0,33094,675847,"I","01/09/2017 00:00:00",84,"M","Vehicle/Towed Trailer",201701
201701,5,0,31807,664829,"I","01/05/2017 00:00:00",53,"F","Vehicle/Towed Trailer",201701
201701,21,0,33091,676363,"D","01/21/2017 00:00:00",23,"F","Other",201701
201701,3,0,31808,664988,"I","01/03/2017 00:00:00",16,"F","Vehicle/Towed Trailer",201701
201701,5,0,32976,665799,"I","01/05/2017 00:00:00",55,"M","Vehicle/Towed Trailer",201701
201701,1,0,32900,666274,"I","01/01/2017 00:00:00",45,"M","Vehicle/Towed Trailer",201701
201701,12,0,33073,666584,"D","01/12/2017 00:00:00",29,"M","Outside/Open Areas",201701
201701,23,0,31851,667029,"D","01/23/2017 00:00:00",60,"M","Outside/Open Areas",201701
201701,15,0,32862,668386,"D","01/15/2017 00:00:00",31,"M","In Water",201701
201701,15,0,32863,668386,"D","01/15/2017 00:00:00",3,"M","In Water",201701
201701,7,0,32866,668659,"D","01/07/2017 00:00:00",72,"M","Outside/Open Areas",201701
201701,10,0,32869,668660,"D","01/10/2017 00:00:00",35,"M","In Water",201701
201701,14,0,32968,668712,"D","01/14/2017 00:00:00",,"","Vehicle/Towed Trailer",201701
201701,22,0,32887,668749,"D","01/22/2017 00:00:00",54,"M","Mobile/Trailer Home",201701
201701,18,0,32904,668998,"D","01/18/2017 00:00:00",52,"F","In Water",201701
201701,4,0,32912,669731,"D","01/04/2017 00:00:00",38,"M","Outside/Open Areas",201701
201701,22,0,32931,670192,"I","01/22/2017 00:00:00",43,"M","In Water",201701
201701,21,0,32930,670198,"D","01/21/2017 00:00:00",47,"F","In Water",201701
201701,30,0,33019,670214,"D","01/30/2017 00:00:00",22,"F","In Water",201701
201701,28,0,32954,670672,"D","01/28/2017 00:00:00",29,"M","Outside/Open Areas",201701
201701,16,0,33002,673097,"I","01/16/2017 00:00:00",,"","Heavy Equipment/Construction",201701
201701,22,0,33092,676370,"D","01/22/2017 00:00:00",5,"M","Vehicle/Towed Trailer",201701
201701,22,0,33093,676370,"D","01/22/2017 00:00:00",73,"M","Vehicle/Towed Trailer",201701
201701,21,0,33122,676496,"D","01/21/2017 00:00:00",58,"M","Mobile/Trailer Home",201701
201701,21,0,33125,676496,"D","01/21/2017 00:00:00",47,"M","Mobile/Trailer Home",201701
201701,21,0,33123,676496,"D","01/21/2017 00:00:00",20,"M","Permanent Home",201701
201701,21,0,33124,676496,"D","01/21/2017 00:00:00",72,"F","Permanent Home",201701
201701,9,0,33076,676952,"I","01/09/2017 00:00:00",59,"M","Vehicle/Towed Trailer",201701
201701,5,0,33090,677714,"D","01/05/2017 00:00:00",48,"F","Permanent Home",201701
201701,21,0,33097,677813,"D","01/21/2017 00:00:00",65,"M","In Water",201701
201701,15,0,33114,678145,"D","01/15/2017 00:00:00",39,"M","In Water",201701
201701,8,0,33128,678690,"D","01/08/2017 00:00:00",65,"M","Outside/Open Areas",201701
201702,7,0,32920,670052,"D","02/07/2017 00:00:00",61,"M","Outside/Open Areas",201702
201702,13,0,32942,669719,"D","02/13/2017 00:00:00",22,"M","Vehicle/Towed Trailer",201702
201702,28,0,33028,674614,"D","02/28/2017 00:00:00",31,"M","Outside/Open Areas",201702
201702,28,0,33029,674614,"D","02/28/2017 00:00:00",76,"M","Outside/Open Areas",201702
201702,21,0,33127,678609,"D","02/21/2017 00:00:00",33,"M","In Water",201702
201702,8,0,33135,679224,"I","02/08/2017 00:00:00",63,"M","Other",201702
201702,28,0,33141,677523,"D","02/28/2017 00:00:00",71,"M","Outside/Open Areas",201702
201702,28,0,33144,677516,"D","02/28/2017 00:00:00",24,"M","Vehicle/Towed Trailer",201702
201702,17,0,33147,681029,"D","02/17/2017 00:00:00",,"","Vehicle/Towed Trailer",201702
201702,9,0,33149,681117,"D","02/09/2017 00:00:00",35,"M","Outside/Open Areas",201702
201702,7,0,33162,681794,"I","02/07/2017 00:00:00",63,"F","Vehicle/Towed Trailer",201702
201702,17,0,33164,681051,"D","02/17/2017 00:00:00",,"","Vehicle/Towed Trailer",201702
201702,23,0,33165,681925,"I","02/23/2017 00:00:00",,"","Vehicle/Towed Trailer",201702
