Generic Name,Brand name,Strength,Dosing,90 Day Cost,Coverage
Lipid Lowering Agents,,,,,
Rosuvastatin,Crestor,"10mg, 20mg",QD,$40 ,BC/IA covered
Atorvastatin,Lipitor,"10mg, 20mg",QD,$50 ,BC/IA covered
Simvastatin,Zocor,10mg,QD,$50 ,BC/IA covered
Atorvastatin,Lipitor,"40mg, 80mg",QD,$55 ,BC/IA covered
Ezetimibe,Ezetrol,10mg,QD,$55 ,SA req‚Äôd for BC and IA
Pravastatin,Pravachol,20mg,QD,$60 ,BC/IA covered
Beta Blockers,,,,,
Atenolol,Tenormin,50mg,QD,$25 ,BC/IA covered
Bisoprolol,Monocor,"5mg, 10mg",QD,$25 ,BC/IA covered
Metoprolol,Lopresor,"25mg, 50mg",BID,$30 ,BC/IA covered
Metoprolol-SR,Lopresor SR,100mg,QD,$30 ,BC/IA covered
Atenolol,Tenormin,100mg,QD,$35 ,BC/IA covered
Metoprolol-SR,Lopresor SR,200mg,QD,$45 ,BC/IA covered
Calcium Channel Blockers,,,,,
Amlodipine,Norvasc,5mg,QD,$35 ,BC/IA covered
Amlodipine,Norvasc,10mg,QD,$50 ,BC/IA covered
Diltiazem-T,Tiazac,240mg,QD,$50 ,BC/IA covered
Angiotensin Converting Enzyme Inhibitors,,,,,
Ramipril,Altace,"5mg, 10mg",QD,$30 ,BC/IA covered
Lisinopril,Zestril,20mg,QD,$30 ,BC/IA covered
Fosinopril,Monopril,10mg,QD,$35 ,BC/IA covered
Enalapril,Vasotec,10mg,QD,$40 ,BC/IA covered
Ramipril/HCT,Altace/HCT,10mg/25mg,QD,$40 ,BC/IA covered
Perindopril,Coversyl,4mg,QD,$95 ,BC/IA covered
Perindopril/Indapamide,Coversyl Plus,4mg/1.25mg,QD,$110 ,BC/IA covered
Perindopril,Coversyl,8mg,QD,$130 ,BC/IA covered
Angiotensin Receptor Blockers,,,,,
Losartan,Cozaar,50mg,QD,$35 ,BC/IA covered
Candesartan,Atacand,8mg,QD,$40 ,BC/IA covered
Irbesartan,Avapro,150mg,QD,$40 ,BC/IA covered
Telmisartan,Micardis,80mg,QD,$40 ,BC/IA covered
Valsartan,Diovan,"80mg, 160mg",QD,$40 ,BC/IA covered
Diuretics,,,,,
Chlorthalidone,Hygroton,50mg,1/4-1/2 QD,$15 ,BC/IA covered
Furosemide,Lasix,"20mg, 40mg",QD,$15 ,BC/IA covered
Hydrochlorothiazide,Hydrodiuril,"12.5mg, 25mg",QD,$15 ,BC/IA covered
Indapamide,Lozide,2.5mg,QD,$25 ,BC/IA covered
Spironolactone,Aldactone,25mg,QD,$25 ,BC/IA covered
Spironolactone,Aldactone,100mg,QD,$40 ,BC/IA covered
Anti-platelet,,,,,
ASA,Aspirin,81mg,QD,$5 ,"OTC, IA covered but NC BC"
Clopidogrel,Plavix,75mg,QD,$60 ,SA req’d for BC and IA 
Ticagrelor,Brilinta,90mg,BID,$310 ,SA req’d for BC and IA 
Anti-coagulant,,,,,
Warfarin,Coumadin,5mg,QD,$20 ,BC/IA covered
Rivaroxaban,Xarelto,"10mg, 15mg, 20mg",QD,$295 ,SA req’d for BC and IA 
Apixaban,Eliquis,5mg,BID,$330 ,SA req’d for BC and IA 
